Category: All categories

Month,escape room: (United States)
2013-01,5
2013-02,5
2013-03,5
2013-04,5
2013-05,5
2013-06,8
2013-07,11
2013-08,7
2013-09,5
2013-10,5
2013-11,5
2013-12,5
2014-01,6
2014-02,5
2014-03,6
2014-04,6
2014-05,7
2014-06,8
2014-07,9
2014-08,9
2014-09,9
2014-10,9
2014-11,8
2014-12,10
2015-01,12
2015-02,13
2015-03,15
2015-04,15
2015-05,17
2015-06,23
2015-07,29
2015-08,34
2015-09,33
2015-10,35
2015-11,32
2015-12,39
2016-01,46
2016-02,45
2016-03,51
2016-04,49
2016-05,48
2016-06,55
2016-07,65
2016-08,61
2016-09,58
2016-10,66
2016-11,61
2016-12,76
2017-01,86
2017-02,82
2017-03,84
2017-04,79
2017-05,77
2017-06,86
2017-07,100
2017-08,87
2017-09,74
2017-10,81
2017-11,79
2017-12,90
2018-01,89
2018-02,85
2018-03,90
2018-04,77
2018-05,71
2018-06,82
2018-07,98
2018-08,87
2018-09,75
2018-10,79
