Category: All categories

Region,escape room: (4/1/15 - 5/1/15)
New York,100
Arizona,92
New Jersey,85
District of Columbia,83
Massachusetts,82
Idaho,81
Pennsylvania,78
Utah,69
Louisiana,65
South Dakota,65
Alaska,59
Connecticut,58
Vermont,57
California,56
Kansas,54
Kentucky,52
Nevada,52
West Virginia,52
Texas,49
Wyoming,47
Tennessee,46
Hawaii,45
Oklahoma,43
Michigan,42
Colorado,41
Wisconsin,40
Alabama,40
Ohio,39
Washington,38
Maryland,38
Florida,37
New Hampshire,34
North Carolina,34
Maine,34
Indiana,33
North Dakota,31
Arkansas,30
Illinois,29
Delaware,29
Minnesota,28
Iowa,28
Georgia,28
Missouri,26
Montana,25
Virginia,25
Oregon,23
South Carolina,20
Rhode Island,18
Mississippi,16
Nebraska,16
New Mexico,15
